name,position,age,club,fee
Jobe Bellingham,Central Midfield,19,Sunderland,€30.50m
Fábio Silva,Centre-Forward,23,Wolves,€22.50m
Yan Couto,Right Midfield,23,Man City,€20.00m
Carney Chukwuemeka,Central Midfield,21,Chelsea,€20.00m
Daniel Svensson,Left-Back,23,Nordsjaelland,€6.50m
Patrick Drewes,Goalkeeper,32,VfL Bochum,€200k
Aarón Anselmino,Centre-Back,20,Chelsea,loan transfer
Youssoufa Moukoko,Centre-Forward,20,Nice,End of loan30/06/2025
Soumaïla Coulibaly,Centre-Back,21,Stade Brestois,End of loan05/06/2025
Diant Ramaj,Goalkeeper,23,Copenhagen,End of loan30/06/2025
Sébastien Haller,Centre-Forward,31,Utrecht,End of loan30/06/2025
Jamie Gittens,Left Winger,20,Chelsea,€56.00m
Soumaïla Coulibaly,Centre-Back,21,R. Strasbourg,€7.50m
Youssoufa Moukoko,Centre-Forward,20,Copenhagen,€5.00m
Giovanni Reyna,Attacking Midfield,22,Mönchengladbach,€4.00m
Pascal Groß,Central Midfield,34,Brighton,€2.00m
Cole Campbell,Right Winger,19,Hoffenheim,Loan fee:€1.50m
Julien Duranville,Left Winger,19,Basel,Loan fee:€250k
Kjell Wätjen,Central Midfield,19,VfL Bochum,Loan fee:€250k
Sébastien Haller,Centre-Forward,31,Utrecht,free transfer
Marcel Lotka,Goalkeeper,24,F. Düsseldorf,free transfer
Diant Ramaj,Goalkeeper,23,Heidenheim,loan transfer
Yan Couto,Right Midfield,23,Man City,End of loan30/06/2025
Carney Chukwuemeka,Central Midfield,21,Chelsea,End of loan06/07/2025
Daniel Svensson,Left-Back,23,Nordsjaelland,End of loan30/06/2025
Aarón Anselmino,Centre-Back,20,Chelsea,End of loan26/01/2026
